,XLK,XLF,XLE,XLV,XLY,XLP,XLI,XLB,XLU,XLRE,XLC
2000-12-29,0.3444587611880033,0.13785697016118104,0.07140043886791195,0.03808807302489932,0.07639417351423226,0.15604799166928066,0.09830069651243822,0.0,0.07745289506205334,0.0,0.0
2001-01-31,0.3233949482026431,0.15935707395580834,0.09260964239747321,0.03441178641783948,0.06586390840737769,0.13995508848454247,0.08469886191065691,0.0,0.0997086902236587,0.0,0.0
2001-03-02,0.32037067738461417,0.15748379448543753,0.08852538037837063,0.03197391885830599,0.05437567939483829,0.13894150122147172,0.10153339620285638,0.0,0.10679565207410528,0.0,0.0
2001-04-02,0.3095291469251563,0.15448925263012742,0.08787078287364303,0.02206250485668352,0.05786599291193583,0.14480654264460474,0.12741256263685208,0.0,0.09596321452099708,0.0,0.0
2001-05-02,0.29468441963123904,0.1587816484930652,0.10470100622786835,0.028451677821652605,0.07105227641791548,0.14858980206947417,0.09154540161133866,0.0,0.10219376772744648,0.0,0.0
2001-06-01,0.2919597138217996,0.1692455612295504,0.098676732570884,0.016830347873871374,0.0799925262494405,0.15614500013014507,0.08237166870342896,0.0,0.10477844942088016,0.0,0.0
2001-07-02,0.28130112822326225,0.17906822275430245,0.10256544848808978,0.01589023224838178,0.07188222139870463,0.15082341368455823,0.09813351027511324,0.0,0.10033582292758755,0.0,0.0
2001-08-01,0.2779128151678753,0.17863372696276997,0.08565223851035267,0.013770324001580196,0.07861272008907001,0.1712241244326656,0.09185614353097593,0.003007327679874448,0.09933057962483585,0.0,0.0
2001-08-30,0.27752604617087984,0.19199184398397226,0.08323618527469444,0.005090964632085902,0.0830640871663708,0.1671939556543473,0.08782523603797678,0.00018410979747507508,0.10388757128219768,0.0,0.0
2001-10-05,0.25709861960169356,0.18525396183656423,0.0831425550042218,0.017938348963643182,0.10699633731355412,0.13960995325351214,0.09594701442567052,0.0,0.11401320960114039,0.0,0.0
2001-11-05,0.25444797793149787,0.18574747054195637,0.07380002758799514,0.003078069407601366,0.10167329525517194,0.154900427597859,0.09080039481945462,0.026810728679209247,0.10874160817925443,0.0,0.0
2001-12-05,0.23968809774504957,0.1940471958715973,0.049767184901200044,0.0014398098072009025,0.10317137608444847,0.15768286189039965,0.09852604105408638,0.03371843358269818,0.12195899906331953,0.0,0.0
2002-01-07,0.2444842050070391,0.18752893089752895,0.05851344338944453,0.0007965498932704087,0.13215314719630392,0.1902864366871899,0.058038114580109434,0.03803253493946387,0.09016663740964995,0.0,0.0
2002-02-06,0.23635099141761387,0.17641989844915223,0.05957026245496728,0.0282726945397264,0.12962693207827977,0.18389927776686363,0.09315028162561506,0.01219103679470392,0.08051862487307779,0.0,0.0
2002-03-08,0.2257502948001523,0.17160158123700106,0.06617341640960826,0.04816526466887792,0.12278544552607285,0.19521785205317171,0.09637260128733798,0.0,0.0739335440177779,0.0,0.0
2002-04-09,0.21084138961046325,0.18206231196938005,0.058444061214346525,0.042996627580007496,0.13454467156579125,0.18786553368755737,0.07399762919271702,0.018960870117868046,0.09028690506186907,0.0,0.0
2002-05-08,0.2119530610893106,0.19825048137765977,0.05510182789013411,0.03522366880721379,0.1451054756096476,0.17346783767878565,0.05659731502377489,0.024601491769147835,0.09969884075432568,0.0,0.0
2002-06-07,0.20917141685054969,0.19577625950843802,0.046565341348751454,0.050274725901333986,0.13325921699853974,0.17102154429673802,0.05848282922614852,0.026337103438336517,0.10911156243116404,0.0,0.0
2002-07-09,0.21482172695149396,0.1684823788433782,0.037033561436854406,0.07647408921143715,0.12470155998856229,0.19294219418830807,0.08318276265477328,0.00585421937152517,0.09650750735366742,0.0,0.0
2002-08-07,0.21018662116945752,0.1713270077671047,0.04366807660236556,0.06887006510889088,0.11503137480530598,0.18105488126889954,0.10727092763480553,0.0013403411997722485,0.10125070444339809,0.0,0.0
2002-09-06,0.20183432580346225,0.1655176801479337,0.042891983151340005,0.06587559826263732,0.09749216837466787,0.18715903314643292,0.12371023171083038,0.014320748894168041,0.1011982305085274,0.0,0.0
2002-10-07,0.21273727698930928,0.18025581617646333,0.04466209476030656,0.05738411262378994,0.06396827896060238,0.1927385309390244,0.14358791656591863,0.027389969770609646,0.07727600321397585,0.0,0.0
